NC1	NC2	NC3	NC4	NC5
Zm00001d027434	0.670270139163098	0.494420284668545	0.714498701665678	0.396408930495599	0.997872401237484
Zm00001d027435	0.0669756873083666	0.0987173437825003	0.233684060924236	0	0.252710418785359
Zm00001d027431	0.112976020211799	0.571301018548703	0.818365295962017	0.0795176262324343	1.6291386381194
Zm00001d027436	0	0.0880412067739288	0.215695463414378	0.00844867418480016	0.0190525205162942
Zm00001d027440	0.00783767850109243	0	0	0	0.0927604886827098
Zm00001d027430	1.13725452681107	0.677504484383422	0.474021260348614	0.878434681942384	1.24628912357862
Zm00001d027439	0.406241859683275	1.17367871932316	0.65607376474051	0.909689837666619	1.44665377936528
Zm00001d027443	0	0.235597562805531	0.592854813544006	0.067127476731802	0.0608134412409379
Zm00001d027441	2.16061710509363	1.69751515095349	0.535075890418586	1.44264113416258	2.98971747322388
Zm00001d027442	2.04331355743595	0.999291850129042	0.937933903690564	0.771976010486456	2.10853032177636
Zm00001d027446	2.16520342437188	1.31928212749023	1.04345014274094	1.30934943867889	2.33473055839076
Zm00001d027445	3.95878141289007	1.67479892797683	0.974805785778416	1.56036160941094	3.63617821948636
Zm00001d027444	3.98961908831016	1.44109608584683	0.937333966820891	1.8703400748864	3.69304514961703
Zm00001d027447	2.74912995093982	1.49961140557228	1.30911954114994	1.09318602944618	3.10414785315947
Zm00001d027449	0.609012605889921	1.0293323347667	0.485949490561229	0.164993329042351	1.69174079455247
Zm00001d027451	0.97127369973606	0.199278780132735	0.0807531415323765	0.316969758756221	0.849575634667077
Zm00001d027454	0.553730117351973	1.68575010662874	1.58404445801923	0.163657541986029	0.93903784300536
Zm00001d027458	2.7212769281923	1.07402086861732	1.05017647583246	1.14331330454627	2.37075091382309
Zm00001d027456	0	0.0495000416017535	0.0357537712446817	0	0.00635092894666128
Zm00001d027461	3.77094415717148	1.71587722018812	0.804359676005756	1.36102667334782	4.62489072224925
Zm00001d027455	2.15190687169663	1.71774054992085	1.08636339639641	1.10558200283221	3.18919630760907
Zm00001d027460	2.58302254130903	1.43382439849399	0.758833609702078	1.27276495057246	2.5848012659386
Zm00001d027464	0.0106712732794458	0	0.00238118741951079	0.0555122434237829	0.0646021418915785
Zm00001d027463	0.142347429093163	0.405422532162819	0.34714201173129	0.419310883398817	0.339275600327451
Zm00001d027450	3.28226568668786	1.59226704337399	0.819832143654454	1.44593067899352	3.61808745782697
Zm00001d027467	0.132253908022248	0	0.175010804260554	0.10113149592786	0.293695833822094
Zm00001d027466	1.1229701576122	0.4563630437059	0.437152855727293	0.783163327037055	1.1497691203099
Zm00001d027462	2.04576835440567	1.13298559139072	0.522719572609521	1.3717288761879	2.12378198404205
Zm00001d027471	0	0.218749759563771	0.0548244110459839	0.437825718577938	0.0204446793421813
Zm00001d027469	2.72066613302483	1.57077591414576	1.0432954010661	0.987203772159502	2.83349593873391
